All,Stagione,Giorno,Mese,Specialita,PosizionediPartenza,PosizioneSecondaManche,PosizioneFinale,Tempo,Distacco,Paese,Pista,Altitudine,Punteggio,Latitudine,Longitudine
134,18_19,24,11,Slalom Gigante,1,6,4,01:52:32,1.01,Stati Uniti,Killington,1400,50,44,-72
133,18_19,17,11,Slalom Speciale,1,1,1,01:33:01,-0.58,Finlandia,Levi,580,100,68,25
132,18_19,27,10,Slalom Gigante,2,4,3,02:01:45,0.06,Austria,Solden,3048,60,47,11
131,17_18,17,3,Slalom Speciale,6,1,1,01:46:42,-1.58,Svezia,Are,630,100,63,13
130,17_18,10,3,Slalom Speciale,4,1,1,01:49:10,-0.09,Germania,Ofterschwang,1100,100,47,10
129,17_18,9,3,Slalom Gigante,5,4,3,02:35:54,0.64,Germania,Ofterschwang,1000,60,47,10
128,17_18,28,1,Slalom Speciale,3,1,40,NA,NA,Svizzera,Lenzerheide,1474,0,47,10
127,17_18,27,1,Slalom Gigante,6,5,7,02:13:18,2.13,Svizzera,Lenzerheide,2300,36,47,10
126,17_18,23,1,Slalom Gigante,2,39,41,NA,NA,Italia,Kronplatz,2300,0,47,12
125,17_18,21,1,SuperG,16,39,41,NA,NA,Italia,Cortina,2175,0,44,12
124,17_18,20,1,Discesa Libera,11,NA,7,01:38:33,0.145,Italia,Cortina,2300,36,44,12
123,17_18,19,1,Discesa Libera,10,NA,3,01:37:29,0.84,Italia,Cortina,2350,60,44,12
122,17_18,9,1,Slalom Speciale,4,2,1,01:51:26,-0.94,Austria,Flachau,1100,100,47,13
121,17_18,7,1,Slalom Speciale,2,1,1,01:43:50,-1.64,Sloveniza,Kranjska Gora,1120,100,46,14
120,17_18,6,1,Slalom Gigante,7,1,1,01:47:40,-0.31,Slovenia,Kranjska Gora,1200,100,46,14
119,17_18,3,1,Slalom Speciale,4,1,1,01:53:07,-1.59,Croazia,Zagabria,860,100,46,16
118,17_18,1,1,Combinata Alpina,1,NA,1,01:19:23,0.17,Norvegia,Oslo,1250,100,60,11
117,17_18,29,12,Slalom Gigante,1,2,3,02:06:00,0.08,Austria,Lienz,750,60,46,12
